date,month,value,type,mean,stdev,anom
02/10/2015,10.00,1.287755994,with correction,1.307276418,0.141419388,-0.138032164
07/11/2015,11.00,1.347370385,with correction,1.326105077,0.214325315,0.099219768
10/12/2015,12.00,1.389565438,with correction,1.34117191,0.174417511,0.277457969
19/01/2016,1.00,1.440668896,with correction,1.455232149,0.163730433,-0.088946522
29/02/2016,2.00,1.384068977,with correction,1.372807156,0.12594535,0.089418317
07/03/2016,3.00,1.3146137,with correction,1.192007919,0.188399557,0.650775314
14/03/2016,3.00,1.257775298,with correction,1.192007919,0.188399557,0.349084575
24/03/2016,3.00,1.181699284,with correction,1.192007919,0.188399557,-0.054716876
02/04/2016,4.00,1.098752694,with correction,1.045748782,0.162939554,0.325298
12/04/2016,4.00,1.02230192,with correction,1.045748782,0.162939554,-0.143899142
19/04/2016,4.00,0.954345678,with correction,1.045748782,0.162939554,-0.560963268
01/05/2016,5.00,0.884390722,with correction,0.939584997,0.125073075,-0.441296218
12/06/2016,6.00,0.820613606,with correction,0.819475172,0.131552327,0.008653853
24/07/2016,7.00,0.874397157,with correction,0.89647801,0.124188384,-0.177801278
10/08/2016,8.00,0.952763363,with correction,1.010118829,0.139559792,-0.410974143
19/08/2016,8.00,1.028797738,with correction,1.010118829,0.139559792,0.133841621
29/08/2016,8.00,1.107871822,with correction,1.010118829,0.139559792,0.700438081
09/09/2016,9.00,1.182198962,with correction,1.180670926,0.153433391,0.009958954
20/09/2016,9.00,1.239661962,with correction,1.180670926,0.153433391,0.384473256
25/09/2016,9.00,1.301844144,with correction,1.180670926,0.153433391,0.789744772
27/10/2016,10.00,1.342096004,with correction,1.307276418,0.141419388,0.246215082
04/12/2016,12.00,1.259952142,with correction,1.34117191,0.174417511,-0.465662925
02/02/2017,2.00,1.315726405,with correction,1.372807156,0.12594535,-0.453218411
16/02/2017,2.00,1.232666466,with correction,1.372807156,0.12594535,-1.11271032
04/03/2017,3.00,1.175203467,with correction,1.192007919,0.188399557,-0.089195817
13/03/2017,3.00,1.114742398,with correction,1.192007919,0.188399557,-0.410115196
27/03/2017,3.00,1.042705449,with correction,1.192007919,0.188399557,-0.792477818
12/04/2017,4.00,0.950264972,with correction,1.045748782,0.162939554,-0.58600756
29/04/2017,4.00,0.874896835,with correction,1.045748782,0.162939554,-1.048560299
10/06/2017,6.00,0.806304638,with correction,0.819475172,0.131552327,-0.100116311
22/07/2017,7.00,0.845540738,with correction,0.89647801,0.124188384,-0.410161329
13/08/2017,8.00,0.903003737,with correction,1.010118829,0.139559792,-0.767521152
02/09/2017,9.00,0.958176544,with correction,1.180670926,0.153433391,-1.450104051
08/09/2017,9.00,1.032920083,with correction,1.180670926,0.153433391,-0.96296407
20/09/2017,9.00,1.106247867,with correction,1.180670926,0.153433391,-0.485051254
04/10/2017,10.00,1.207631439,with correction,1.307276418,0.141419388,-0.704606208
29/11/2017,11.00,1.228720068,with correction,1.326105077,0.214325315,-0.454379406
03/02/2018,2.00,1.2426901,with correction,1.372807156,0.12594535,-1.03312315
28/02/2018,2.00,1.159713441,with correction,1.372807156,0.12594535,-1.691953821
09/03/2018,3.00,1.090757841,with correction,1.192007919,0.188399557,-0.537422058
17/03/2018,3.00,1.023134718,with correction,1.192007919,0.188399557,-0.89635668
25/03/2018,3.00,0.951097769,with correction,1.192007919,0.188399557,-1.278719301
08/04/2018,4.00,0.874272237,with correction,1.045748782,0.162939554,-1.052393609
19/04/2018,4.00,0.804317282,with correction,1.045748782,0.162939554,-1.481724327
05/05/2018,5.00,0.729990141,with correction,0.939584997,0.125073075,-1.675779186
04/06/2018,6.00,0.666417654,with correction,0.819475172,0.131552327,-1.163472522
15/07/2018,7.00,0.771213597,with correction,0.89647801,0.124188384,-1.008664491
31/07/2018,7.00,0.850745719,with correction,0.89647801,0.124188384,-0.368249343
16/08/2018,8.00,0.934858226,with correction,1.010118829,0.139559792,-0.539271393
02/09/2018,9.00,1.024443399,with correction,1.180670926,0.153433391,-1.018210745
15/09/2018,9.00,1.10824658,with correction,1.180670926,0.153433391,-0.47202467
20/09/2018,9.00,1.172829995,with correction,1.180670926,0.153433391,-0.05110316
02/10/2018,10.00,1.234040581,with correction,1.307276418,0.141419388,-0.517862774
13/10/2018,10.00,1.289629787,with correction,1.307276418,0.141419388,-0.124782259
29/10/2018,10.00,1.327758591,with correction,1.307276418,0.141419388,0.144832853
30/11/2018,11.00,1.184197675,with correction,1.326105077,0.214325315,-0.662112184
21/11/2007,11.00,1.540677966,with correction,1.326105077,0.214325315,1.001155132
13/01/2008,1.00,1.531638418,with correction,1.455232149,0.163730433,0.466658934
10/07/2008,7.00,0.98700565,with correction,0.89647801,0.124188384,0.728954164
12/07/2009,7.00,1.03220339,with correction,0.89647801,0.124188384,1.092899154
01/12/2009,12.00,1.492090395,with correction,1.34117191,0.174417511,0.865271411
04/03/2010,3.00,1.486440678,with correction,1.192007919,0.188399557,1.56281025
15/08/2010,8.00,0.878531073,with correction,1.010118829,0.139559792,-0.942877271
02/06/2011,6.00,0.840112994,with correction,0.819475172,0.131552327,0.156879189
05/01/2012,1.00,1.542937853,with correction,1.455232149,0.163730433,0.535671363
13/01/2012,1.00,1.497740113,with correction,1.455232149,0.163730433,0.259621644
14/12/2012,12.00,1.452542373,with correction,1.34117191,0.174417511,0.638527993
20/02/2013,2.00,1.416384181,with correction,1.372807156,0.12594535,0.345999474
24/06/2013,6.00,0.955367232,with correction,0.819475172,0.131552327,1.03298864
30/01/2014,1.00,1.561016949,with correction,1.455232149,0.163730433,0.646091251
24/05/2014,5.00,0.973446328,with correction,0.939584997,0.125073075,0.270732375
14/12/2014,12.00,1.45480226,with correction,1.34117191,0.174417511,0.65148476
17/10/2014,10.00,1.466101695,with correction,1.307276418,0.141419388,1.123079937
10/07/2015,7.00,0.894350282,with correction,0.89647801,0.124188384,-0.017133065
29/12/2016,12.00,1.310169492,with correction,1.34117191,0.174417511,-0.177748314
28/12/2017,12.00,1.206214689,with correction,1.34117191,0.174417511,-0.773759585
17/11/2018,11.00,1.255932203,with correction,1.326105077,0.214325315,-0.327412906
