system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
86,23,1.159554839,229.619948,4769.090114,243.4305978,291.87433,299.08142,0.322985656,0.445255344,-0.537200107,29,-39.337635,0,0,-0.718816448,2.087286067,-70.74232862,-13.25015044
87,19,1.295896823,231.0431827,5052.16467,273.2825023,294.93,302.57425,0.305372269,0.411394563,-0.317439424,30,-35.708664,0,0,-1.018560678,2.005003539,-70.29317098,-13.25015044
88,16,1.474807073,210.979557,4176.899217,439.3945169,296.74417,305.21353,0.256929878,0.425753399,0.125921943,22,-18.310059,0,0,-1.102047318,1.625259055,-69.84401334,-13.25015044
89,16,1.539322086,191.5601635,3364.415489,436.6485114,297.5459,306.2221,0.225154608,0.454526801,-0.229588139,31,-17.07571,0,0,-0.849856598,1.336968277,-69.3948557,-13.25015044
90,13,1.828081156,156.4585958,2674.563263,381.4539742,298.20798,307.804,0.296142132,0.500255753,-0.74988541,32,-7.100929,0,0,-0.98437511,0.994677448,-68.94569806,-13.25015044
91,13,1.879934579,136.2381234,2246.137409,331.9065256,298.51437,308.2744,0.300400655,0.512198316,-1.138680827,27,-2.1770415,0,0.603197641,-0.712919757,0.951447181,-68.49654041,-13.25015044
92,15,1.904496082,117.0380049,1979.584961,301.0668992,298.97125,308.6836,0.3312123,0.498641028,-1.593168895,34,-3.1596596,0,-0.885141924,-1.005694782,1.206487865,-67.59822513,-13.25015044
93,11,1.695680279,115.615823,1877.337797,263.8763983,299.10535,307.87653,0.216144097,0.535822243,-0.328967315,33,-4.292654,0,-1.613954125,-1.038288712,1.225147729,-67.14906749,-13.25015044
94,9,1.559209955,111.5065908,1571.495238,199.1879784,299.0142,307.28784,0.380223436,0.655855536,0.158185821,50,-2.728585,0,-1.41559445,-1.194844858,2.383721485,-63.55580635,-13.25015044
95,10,1.54249701,110.370393,1548.762808,180.2757608,298.84567,307.3108,0.339002689,0.662897093,0.026494518,48,-3.0667076,0,-1.292161961,-1.018355471,2.342538126,-63.10664871,-13.25015044
96,8,1.559789973,122.872925,1619.487853,226.1043181,298.68665,307.37045,0.312312015,0.708789406,-0.788641661,50,-8.749603,0,-1.432137951,-0.645302961,2.562290472,-62.65749107,-13.25015044
97,8,1.545836308,115.7757779,1588.237392,212.0047295,298.72614,307.40637,0.316177987,0.691915942,-0.086182656,48,-4.92073,0,-1.0481667,-0.248698774,2.673748486,-62.20833343,-13.25015044
98,10,1.583455979,109.8171974,1632.458628,168.7745489,298.82675,307.5227,0.332264774,0.63952062,-0.068726514,50,-2.200679,0,0,-0.86550912,2.574225629,-61.75917578,-13.25015044
99,10,1.615366761,119.7991186,1708.72786,169.058564,296.9017,305.37698,0.344295905,0.648483867,0.034751439,67,-7.5534105,0,-2.423075418,-0.897177523,2.749019459,-59.51338757,-13.25015044
100,22,0.986985494,101.9464705,1748.740362,109.8238276,290.57098,298.62616,0.277196018,0.547305902,0.199673594,41,-54.873024,0,0.408248278,-0.192446361,1.494121001,-73.43727448,-12.8009928
101,16,0.882553865,89.24819139,1429.04935,77.52854113,289.1326,296.4838,0.226384149,0.58568607,-0.294703573,43,-45.747757,0,-3.00222469,-0.331269599,2.264566253,-72.98811683,-12.8009928
102,18,0.825100202,82.64818465,1301.263751,55.30993477,289.23077,296.42697,0.229893898,0.604685013,-0.294703573,41,-45.008667,0,-1.961814236,-0.462969694,2.220050611,-72.53895919,-12.8009928
103,19,1.168158456,165.0879621,2692.128907,186.0801112,289.32056,295.98682,0.279146579,0.564656508,-0.160169979,31,-33.003803,0,0,-0.112188067,1.04732648,-71.64064391,-12.8009928
104,19,1.510746013,198.8425459,3843.734204,382.9828314,295.9105,304.3888,0.330050645,0.439070455,0.215091796,26,-22.089195,0,0,-0.161319756,1.649669694,-71.19148627,-12.8009928
105,19,1.41002438,182.2169683,4409.429236,257.6894716,297.1308,305.56873,0.298481638,0.35856178,0.315182174,23,-6.350032,0,0,-0.444576537,1.678964182,-70.74232862,-12.8009928
